entry,part_of_speech,korean_meaning,example_sentence
partisan,adj.,"정당적인, 정당파의",The political debate became increasingly partisan.
puerile,adj.,"유치한, 어리석은",His puerile jokes were inappropriate for the serious business meeting.
pugnacious,adj.,"호전적인, 싸우기 좋아하는",The pugnacious debater never backed down from an intellectual challenge.
punctilious,adj.,"꼼꼼한, 세심한",The punctilious secretary ensured every document was perfectly formatted.
pungent,adj.,"톡 쏘는, 자극적인",The pungent aroma of garlic filled the kitchen during cooking.
quaint,adj.,"고풍스러운, 아기자기한",The quaint village cottage charmed visitors with its rustic appeal.
quandary,n.,"진퇴양난, 곤경",She found herself in a quandary about which job offer to accept.
quarantine,n.,"격리, 검역",The infected passengers were placed in quarantine for two weeks.
quell,v.,"진압하다, 억누르다",The police were called to quell the riot in the city center.
querulous,adj.,"불평이 많은, 짜증내는",The querulous patient constantly complained about the hospital food.
quiescent,adj.,"활동이 없는, 잠잠한",The volcano had been quiescent for over fifty years.
quintessential,adj.,"전형적인, 본질적인","She was the quintessential professional, always prepared and punctual."
quixotic,adj.,"비현실적인, 이상주의적인",His quixotic plan to end world poverty was admirable but unrealistic.
rancor,n.,"원한, 앙심",The rancor between the two families had lasted for generations.
rapacious,adj.,"약탈적인, 탐욕스러운",The rapacious corporation exploited workers for maximum profit.
rapport,n.,"친밀한 관계, 공감",The teacher established good rapport with her students immediately.
ratify,v.,"비준하다, 승인하다",The senate voted to ratify the international trade agreement.
raucous,adj.,시끄럽고 거친,The raucous laughter from the party disturbed the neighbors.
rebuke,v.,"꾸짖다, 질책하다",The principal rebuked the student for his disrespectful behavior.
recalcitrant,adj.,"반항적인, 다루기 힘든",The recalcitrant employee refused to follow company policies.
recant,v.,"철회하다, 취소하다","Under pressure, the scientist recanted his controversial theory."
reciprocal,adj.,"상호적인, 서로의",The two countries signed a reciprocal trade agreement.
reclusive,adj.,"은둔한, 세상을 피하는",The reclusive author rarely gave interviews or public appearances.
reconcile,v.,"화해시키다, 조화시키다",The mediator helped reconcile the feuding business partners.
recondite,adj.,"난해한, 심오한",The professor’s recondite research was understood by few colleagues.
redress,v.,"바로잡다, 보상하다",The company promised to redress the environmental damage caused.
redundant,adj.,"불필요한, 중복된",The new software made several job positions redundant.
refute,v.,"반박하다, 논박하다",The scientist’s experiments refuted the previously accepted hypothesis.
relegate,v.,"좌천시키다, 강등시키다",The team was relegated to a lower division after poor performance.
relinquish,v.,"포기하다, 양도하다",She reluctantly relinquished her position as department head.
remiss,adj.,"태만한, 부주의한",The security guard was remiss in checking visitor identification.
remorse,n.,"후회, 양심의 가책",He felt genuine remorse for his harsh words to his friend.
renounce,v.,"포기하다, 단념하다",The prince renounced his claim to the throne for love.
replete,adj.,"가득한, 충분한",The museum was replete with artifacts from ancient civilizations.
reprehensible,adj.,비난받을 만한,The politician’s reprehensible behavior shocked his supporters.
reprieve,n.,"형 집행 취소, 유예",The governor granted a reprieve to the condemned prisoner.
reprimand,v.,"질책하다, 꾸짖다",The employee received a formal reprimand for violating safety protocols.
reproach,v.,"비난하다, 책망하다",She reproached him for his lack of consideration toward others.
repudiate,v.,"거부하다, 부인하다",The organization repudiated the extremist views of former members.
rescind,v.,"폐지하다, 철회하다",The company decided to rescind the controversial policy change.
resilient,adj.,"회복력 있는, 탄력 있는",The resilient community rebuilt after the devastating earthquake.
resolute,adj.,"단호한, 확고한",She remained resolute in her decision despite family pressure.
reticent,adj.,"과묵한, 말을 삼가는",The reticent witness provided minimal information during questioning.
retract,v.,"철회하다, 취소하다",The newspaper was forced to retract the false story.
reverent,adj.,"경건한, 존경심이 가득한",The congregation maintained a reverent silence during the prayer.
rhetoric,n.,"수사학, 미사여구",The politician’s rhetoric appealed to voters’ emotions rather than logic.
rigorous,adj.,"엄격한, 철저한",The university maintained rigorous academic standards for graduation.
robust,adj.,"튼튼한, 강한",The robust economy showed steady growth throughout the year.
rudimentary,adj.,"기초적인, 미발달의",His rudimentary knowledge of French made communication difficult.
sagacious,adj.,"현명한, 통찰력 있는",The sagacious advisor helped the king make wise decisions.
salient,adj.,"두드러진, 현저한",The salient features of the proposal were highlighted in the presentation.
sanctimonious,adj.,"독선적인, 위선적인",His sanctimonious attitude alienated his colleagues at work.
sanguine,adj.,"낙관적인, 쾌활한","Despite setbacks, she remained sanguine about the project’s success."
sardonic,adj.,"냉소적인, 비웃는",His sardonic comments revealed his bitter disappointment with politics.
scrupulous,adj.,"세심한, 양심적인",The accountant was scrupulous in checking every financial transaction.
scrutinize,v.,면밀히 조사하다,The auditor scrutinized the company’s financial records carefully.
secular,adj.,"세속적인, 종교와 무관한",The country maintained a secular government separate from religious institutions.
sedentary,adj.,"앉아서 하는, 비활동적인",His sedentary lifestyle contributed to various health problems.
seminal,adj.,"중요한, 영향력이 큰",Darwin’s work was seminal in the development of evolutionary theory.
servile,adj.,"아첨하는, 비굴한",His servile behavior toward the boss embarrassed his colleagues.
skeptical,adj.,"회의적인, 의심 많은",The scientist remained skeptical of claims without empirical evidence.
solemn,adj.,"엄숙한, 진지한",The solemn ceremony honored the fallen soldiers with appropriate respect.
solicitous,adj.,"세심히 배려하는, 걱정하는",The nurse was solicitous about the patient’s comfort and well-being.
somber,adj.,"침울한, 어두운",The somber mood at the funeral reflected everyone’s grief.
sophisticated,adj.,"세련된, 정교한",The sophisticated wine connoisseur could identify subtle flavor differences.
specious,adj.,"겉보기에는 그럴듯한, 허위의",His specious argument sounded convincing but lacked factual support.
spurious,adj.,"가짜의, 위조된",The investigation revealed spurious claims in the research paper.
squalid,adj.,"지저분한, 불결한",The refugees lived in squalid conditions in the overcrowded camp.
stagnant,adj.,"정체된, 침체된",The stagnant economy showed no signs of improvement or growth.
stoic,n.,"극기의 사람, 금욕주의자",The stoic soldier bore his injuries without complaint or emotion.
strident,adj.,"귀에 거슬리는, 시끄러운",Her strident voice could be heard across the entire auditorium.
stringent,adj.,"엄격한, 엄밀한",The laboratory followed stringent safety protocols to prevent contamination.
sublime,adj.,"숭고한, 장엄한",The sublime mountain vista took their breath away completely.
substantiate,v.,"입증하다, 증명하다",The lawyer needed to substantiate his claims with concrete evidence.
subtle,adj.,"미묘한, 감지하기 어려운",The subtle changes in her behavior indicated underlying stress.
subversive,adj.,"체제 전복적인, 파괴적인",The subversive literature was banned by the authoritarian government.
succinct,adj.,"간결한, 명료한",His succinct summary captured the essence of the complex report.
superfluous,adj.,"불필요한, 과잉의",The editor removed superfluous words to improve the article’s clarity.
supple,adj.,"유연한, 나긋나긋한",The dancer’s supple movements captivated the audience throughout the performance.
surreptitious,adj.,"은밀한, 비밀의",She cast surreptitious glances at her watch during the boring meeting.
sycophant,n.,"아첨꾼, 알랑쇠",The sycophant constantly flattered the boss to secure a promotion.
tacit,adj.,"암묵적인, 무언의",There was a tacit agreement between them to avoid the controversial topic.
taciturn,adj.,"말수가 적은, 과묵한",The taciturn professor rarely engaged in casual conversation with students.
tangible,adj.,"실질적인, 만질 수 있는",The company needed tangible results to justify the expensive project.
tedious,adj.,"지루한, 장황한",The tedious lecture on tax law put several students to sleep.
temerity,n.,"무모함, 대담함",He had the temerity to criticize his boss’s decision in public.
tenacious,adj.,"끈질긴, 집요한",The tenacious reporter pursued the story despite numerous obstacles.
tentative,adj.,"임시의, 잠정적인",They made tentative plans to meet next week pending schedule confirmation.
terse,adj.,"간결한, 무뚝뚝한",His terse reply indicated his displeasure with the question.
timorous,adj.,"겁이 많은, 소심한",The timorous student hesitated to ask questions during class.
torpid,adj.,"무기력한, 활발하지 않은",The hot weather made everyone feel torpid and unmotivated.
tractable,adj.,"다루기 쉬운, 유순한",The tractable horse was perfect for beginning riding lessons.
transient,adj.,"일시적인, 덧없는",The transient nature of fame became apparent when his popularity faded.
trite,adj.,"진부한, 평범한",The graduation speech was full of trite phrases and clichéd advice.
truculent,adj.,"공격적인, 반항적인",The truculent customer demanded to speak with the manager immediately.
turbulent,adj.,"격동의, 혼란스러운",The country experienced a turbulent period of political upheaval.
ubiquitous,adj.,"도처에 존재하는, 어디에나 있는",Cell phones have become ubiquitous in modern society worldwide.
unctuous,adj.,"지나치게 아부하는, 기름기 있는",The unctuous salesman’s excessive compliments made customers uncomfortable.
unprecedented,adj.,"전례 없는, 유례없는",The pandemic created unprecedented challenges for healthcare systems globally.
vacillate,v.,"흔들리다, 망설이다",She continued to vacillate between the two job offers for weeks.
venerable,adj.,"존경할 만한, 유서 깊은",The venerable professor emeritus was honored for his lifetime achievements.
obstinate,adj.,"완고한, 고집 센",The obstinate child refused to eat his vegetables despite repeated requests.
obtuse,adj.,"둔감한, 이해가 느린",His obtuse response to her emotional plea frustrated her greatly.
ominous,adj.,"불길한, 나쁜 징조의",The ominous dark clouds suggested a severe storm was approaching.
onerous,adj.,"부담스러운, 힘든",The onerous task of reorganizing the entire database took months to complete.
opaque,adj.,"불투명한, 이해하기 힘든",The opaque glass prevented anyone from seeing inside the building.
opportunistic,adj.,"기회를 노리는, 기회주의적인",The opportunistic politician changed his stance to gain more votes.
opulent,adj.,"호화로운, 부유한",The opulent mansion displayed the family’s enormous wealth.
ornate,adj.,화려하게 장식된,The ornate cathedral featured elaborate carvings and detailed artwork.
orthodox,adj.,"정통의, 전통적인",His orthodox approach to medicine rejected alternative treatments.
ostensible,adj.,"표면상의, 겉보기의","The ostensible reason for his visit was business, but he had personal motives."
ostentatious,adj.,"과시하는, 허세 부리는",Her ostentatious jewelry drew attention at the charity gala.
pacify,v.,"달래다, 진정시키다",The mother tried to pacify her crying baby with gentle rocking.
palliate,v.,(병을) 완화시키다,The medication helped palliate the patient’s chronic pain.
palpable,adj.,"명백한, 뚜렷한",The tension in the room was palpable during the heated discussion.
paradigm,n.,"전형, 모범",The new teaching method represented a paradigm shift in education.
paradox,n.,"역설, 모순된 말","It’s a paradox that the more choices we have, the harder it becomes to decide."
paragon,n.,"모범, 귀감",She was considered a paragon of virtue and moral excellence.
paramount,adj.,"가장 중요한, 최고의",The safety of the passengers was of paramount concern to the airline.
parochial,adj.,"편협한, 지방적인",His parochial views prevented him from understanding global perspectives.
parsimonious,adj.,"인색한, 지나치게 알뜰한",The parsimonious millionaire lived like a pauper despite his wealth.
partisan,adj.,"당파적인, 편파적인",The partisan crowd cheered only when their team scored points.
pathos,n.,"연민, 비애감",The documentary’s pathos moved viewers to donate to the charity.
paucity,n.,"부족, 결핍",There was a paucity of evidence to support the prosecution’s case.
pedantic,adj.,"지나치게 규칙을 따지는, 학문적인",His pedantic correction of everyone’s grammar annoyed his colleagues.
penchant,n.,"기호, 취미",She had a penchant for collecting vintage postcards from around the world.
penitent,adj.,"참회하는, 뉘우치는",The penitent criminal apologized to the victims’ families in court.
pensive,adj.,"깊은 생각에 잠긴, 수심 어린","She sat in pensive silence, contemplating her future career options."
perennial,adj.,"영구적인, 지속적인",World hunger remains a perennial problem that requires ongoing attention.
perfidious,adj.,"배신하는, 신뢰할 수 없는",The perfidious ally betrayed the treaty and attacked without warning.
perfunctory,adj.,"형식적인, 의무적인",His perfunctory apology lacked sincerity and genuine remorse.
peripheral,adj.,"주변의, 중요하지 않은",The peripheral issues distracted from the main topic of discussion.
pernicious,adj.,"치명적인, 해로운",The pernicious influence of social media on self-esteem concerns many parents.
perpetual,adj.,"끊임없는, 영구적인",The perpetual noise from the construction site disturbed the neighborhood.
pervasive,adj.,"만연한, 스며드는",The pervasive smell of smoke indicated a fire somewhere nearby.
petulant,adj.,"심술부리는, 화잘내는",The petulant child threw a tantrum when denied the toy.
philanthropic,adj.,"박애의, 자선의",Her philanthropic efforts helped build schools in underdeveloped regions.
phlegmatic,adj.,"침착한, 냉정한",His phlegmatic response to the crisis impressed everyone with his composure.
piety,n.,"경건함, 신앙심",The monk’s piety was evident in his daily prayers and meditation.
pinnacle,n.,"정점, 절정",Winning the Nobel Prize was the pinnacle of her scientific career.
pious,adj.,"독실한, 경건한",The pious woman attended church services every day without fail.
placate,v.,"달래다, 진정시키다",The company offered refunds to placate the dissatisfied customers.
placid,adj.,"평온한, 차분한",The placid lake reflected the mountains perfectly in its still waters.
platitude,n.,"진부한 말, 상투적인 표현",The politician’s speech was full of platitudes and empty promises.
plausible,adj.,"그럴듯한, 타당해 보이는",His explanation for being late seemed plausible to the teacher.
plight,n.,"곤경, 어려운 상황",The documentary highlighted the plight of refugees fleeing war-torn countries.
poignant,adj.,"가슴 아픈, 감동적인",The poignant farewell scene brought tears to the audience’s eyes.
pompous,adj.,"거만한, 젠체하는",The pompous professor looked down on students who asked simple questions.
ponderous,adj.,"육중한, 무거운",The ponderous machinery required several workers to operate safely.
portent,n.,"전조, 징후",The economic indicators were seen as a portent of recession.
posthumous,adj.,사후의,The author received posthumous recognition for his literary contributions.
pragmatic,adj.,"실용적인, 현실적인",Her pragmatic approach to problem-solving impressed the management team.
precarious,adj.,"위태로운, 불안정한",The mountain climber found himself in a precarious position on the cliff.
precedent,n.,"선례, 전례",The court’s decision set an important legal precedent for future cases.
precipitate,v.,"촉발하다, 갑자기 일어나게 하다",The scandal precipitated the politician’s resignation from office.
preclude,v.,"막다, 방해하다",The heavy rain precluded any possibility of holding the outdoor concert.
precocious,adj.,"조숙한, 일찍 발달한",The precocious child could read complex novels by age six.
predilection,n.,"편애, 선호",She had a predilection for classical music over contemporary genres.
preeminent,adj.,"탁월한, 걸출한",He was the preeminent expert in his field of research.
presumptuous,adj.,"주제넘은, 건방진",It was presumptuous of him to assume he would get the promotion.
pretentious,adj.,"허세부리는, 가식적인",The pretentious art critic used unnecessarily complex vocabulary.
prevalent,adj.,"널리 퍼진, 유행하는",Flu was prevalent in the community during the winter months.
prevaricate,v.,"얼버무리다, 둘러대다",The witness tried to prevaricate when asked direct questions.
pristine,adj.,"원래 그대로의, 깨끗한",The pristine wilderness area had never been developed or disturbed.
probity,n.,"정직, 청렴",The judge was known for his probity and fair treatment of all cases.
proclivity,n.,"성향, 경향",He had a proclivity for arriving late to important meetings.
procrastinate,v.,"미루다, 지연하다",Students often procrastinate when faced with difficult assignments.
prodigal,adj.,"낭비하는, 방탕한",The prodigal heir squandered his inheritance within a few years.
prodigious,adj.,"엄청난, 굉장한",The athlete’s prodigious talent was evident from childhood.
profane,adj.,"세속적인, 불경한",The profane language in the movie earned it an adult rating.
profligate,adj.,"방탕한, 낭비하는",The profligate spending habits led to massive debt accumulation.
profound,adj.,"심오한, 깊은",The philosopher’s profound thoughts influenced generations of thinkers.
profuse,adj.,"풍부한, 넘치는",She offered profuse apologies for the misunderstanding and confusion.
prolific,adj.,"다작의, 풍부한",The prolific author published dozens of novels during her career.
propensity,n.,"성향, 경향",Children have a natural propensity for learning languages quickly.
propitious,adj.,"유리한, 길조의",The sunny weather was propitious for the outdoor wedding ceremony.
propriety,n.,"예의 바름, 품위",She always maintained strict propriety in her professional interactions.
prosaic,adj.,"평범한, 진부한",His prosaic writing style failed to capture the reader’s imagination.
protract,v.,"연장하다, 늘리다",The negotiations were protracted and lasted for several months.
prudent,adj.,"신중한, 현명한",It would be prudent to save money for unexpected emergencies.
