entry,part_of_speech,korean_meaning,example_sentence
forever,adv.,영원히,I’ll remember this day forever.
forget,v.,잊다,Don’t forget to lock the door.
forgive,v.,용서하다,It’s hard to forgive someone who hurt you.
formal,adj.,격식 있는,He wore a formal suit to the interview.
former,adj.,이전의,He’s a former basketball player.
fortunately,adv.,운 좋게도,"Fortunately, no one was injured in the accident."
fortune,n.,"재산, 운",She made a fortune selling her artwork.
forward,adv.,앞으로,Please move forward and take a seat.
foundation,n.,기초; 재단,Education is the foundation of success.
frame,n.,"틀, 액자",I put the photo in a wooden frame.
freedom,n.,자유,Everyone deserves freedom and equality.
frequently,adv.,자주,He travels abroad frequently for work.
freshly,adv.,"갓, 신선하게",The bread was freshly baked this morning.
friendship,n.,우정,True friendship lasts a lifetime.
frighten,v.,놀라게 하다,The loud noise frightened the baby.
frozen,adj.,얼어붙은,The lake is completely frozen.
fuel,n.,연료,The car runs on diesel fuel.
function,n.,기능,The main function of this button is to start the engine.
fund,n.,"기금, 자금",We’re raising funds for the charity event.
fundamental,adj.,근본적인,Trust is fundamental to any relationship.
funeral,n.,장례식,Many people attended the funeral to pay their respects.
fur,n.,털,The cat’s fur is soft and shiny.
furniture,n.,가구,We bought new furniture for the living room.
further,adv.,"더 멀리, 더 나아가",Let’s discuss this further tomorrow.
future,n.,미래,Nobody knows what the future holds.
gain,v.,얻다,She gained a lot of experience from her last job.
gallery,n.,미술관,We visited a modern art gallery downtown.
garage,n.,차고,He parked the car in the garage.
garlic,n.,마늘,I always add garlic when I cook pasta.
gate,n.,문,The main gate closes at 10 p.m.
gather,v.,모으다,They gathered around the campfire.
generally,adv.,일반적으로,"Generally, people eat three meals a day."
generation,n.,세대,Our generation grew up with the internet.
generous,adj.,관대한,He’s always generous with his time and money.
gentle,adj.,온화한,He spoke in a gentle voice.
gentleman,n.,신사,He’s a real gentleman who respects everyone.
geography,n.,지리,I studied geography in high school.
gesture,n.,"제스처, 몸짓",He made a friendly gesture to say hello.
ghost,n.,유령,Do you believe in ghosts?
giant,adj.,거대한,There’s a giant statue in the park.
gifted,adj.,재능 있는,She’s a gifted musician.
global,adj.,세계적인,Climate change is a global issue.
glove,n.,장갑,Don’t forget your gloves; it’s cold outside.
goal,n.,목표,My goal is to speak English fluently.
goods,n.,상품,Imported goods are often more expensive.
govern,v.,통치하다,The country is governed by a new administration.
government,n.,정부,The government announced new tax reforms.
grade,n.,성적,He got good grades in all his subjects.
gradually,adv.,점차,The pain gradually went away.
grain,n.,곡물,This bread is made from whole grains.
grand,adj.,웅장한,The hotel has a grand lobby with chandeliers.
grant,v.,허가하다,The school granted him permission to leave early.
grass,n.,풀,Kids were playing on the grass.
grateful,adj.,감사하는,I’m grateful for your help.
greatly,adv.,"크게, 매우",Your advice has greatly helped me.
growth,n.,성장,The company’s growth has been impressive this year.
guarantee,v.,보장하다,We guarantee your satisfaction or your money back.
guard,n.,"경비원, 보호자",The guard checked everyone’s bags at the entrance.
guest,n.,손님,We invited ten guests to the dinner party.
guideline,n.,지침,Please follow the safety guidelines carefully.
guilty,adj.,"유죄의, 죄책감을 느끼는",He felt guilty for lying to his friend.
habit,n.,습관,Smoking is a hard habit to break.
hairdresser,n.,미용사,The hairdresser gave me a completely new style.
halfway,adv.,중간에,We met halfway between our houses.
handle,v.,다루다,She can handle difficult situations calmly.
handy,adj.,유용한,This app is really handy for learning new words.
harm,n.,"해, 손해",Too much sunlight can do harm to your skin.
harmful,adj.,해로운,Smoking is harmful to your health.
harvest,n.,수확,Farmers are busy during the harvest season.
headquarters,n.,본사,The company’s headquarters is in New York.
heating,n.,난방,We need to fix the heating before winter.
heaven,n.,천국,The view from the mountain was like heaven.
heel,n.,발뒤꿈치,My new shoes hurt my heels.
hell,n.,지옥,That traffic jam was absolute hell.
helpful,adj.,도움이 되는,Your advice was really helpful.
hero,n.,영웅,He became a national hero after saving the child.
hesitate,v.,주저하다,Don’t hesitate to ask if you need help.
highly,adv.,매우,She’s highly respected in her field.
hire,v.,고용하다,The company plans to hire more staff this year.
historic,adj.,역사적으로 중요한,They visited many historic sites in Rome.
historical,adj.,역사적인,The film is based on historical events.
honest,adj.,정직한,Be honest with me—did you break the vase?
honestly,adv.,솔직히,"Honestly, I didn’t expect it to work."
hook,n.,갈고리,Hang your coat on the hook by the door.
horrible,adj.,끔찍한,The food tasted horrible.
horror,n.,공포,She screamed in horror when she saw the spider.
host,n.,"주인, 진행자",The host welcomed everyone to the party.
household,n.,가정,There are four people in our household.
housing,n.,"주택, 거주",Affordable housing is a major issue in the city.
however,adv.,그러나,"I like the idea; however, it may be too expensive."
huge,adj.,거대한,That’s a huge improvement from last time.
humor,n.,유머,His sense of humor makes everyone laugh.
hurt,v.,다치게 하다,"Be careful, you might hurt yourself."
hypothesis,n.,가설,Scientists tested the hypothesis in the lab.
ideal,adj.,이상적인,It’s the ideal place to relax on weekends.
identify,v.,식별하다,Can you identify the man in this photo?
identity,n.,정체성,She’s proud of her cultural identity.
ignore,v.,무시하다,He ignored my message all day.
illegal,adj.,불법의,It’s illegal to drive without a license.
illness,n.,질병,He missed work because of a serious illness.
illustrate,v.,"설명하다, 예시를 들다",The teacher illustrated her point with a story.
image,n.,"이미지, 모습",The company wants to improve its public image.
imaginary,adj.,상상의,Kids often have imaginary friends.
imagination,n.,상상력,Reading books helps develop your imagination.
immediate,adj.,즉각적인,We need an immediate response to this issue.
immediately,adv.,즉시,Please call me immediately if anything happens.
immigrant,n.,이민자,Many immigrants come here seeking better lives.
impact,n.,영향,Climate change has a huge impact on our planet.
imply,v.,암시하다,Are you implying that I’m wrong?
import,v.,수입하다,The country imports oil from overseas.
importance,n.,중요성,He emphasized the importance of education.
impose,v.,"부과하다, 강요하다",The government imposed new taxes on fuel.
impress,v.,감명을 주다,Her speech really impressed the audience.
impressed,adj.,감명받은,I was impressed by his kindness.
impression,n.,인상,She made a great first impression.
impressive,adj.,인상적인,The view from the top was really impressive.
improve,v.,개선하다,You need to improve your pronunciation.
improvement,n.,개선,There’s been a big improvement in his English.
inaccurate,adj.,부정확한,That information is inaccurate and misleading.
include,v.,포함하다,The price includes breakfast and dinner.
income,n.,수입,Her monthly income has increased recently.
incorporate,v.,통합하다,The app incorporates AI features to improve accuracy.
increase,v.,증가하다,Prices have increased by 10% this year.
increasingly,adv.,점점 더,People are increasingly working from home.
indeed,adv.,정말로,It was indeed a wonderful experience.
independence,n.,독립,Many countries fought for their independence.
independent,adj.,독립적인,She’s an independent woman who lives alone.
index,n.,"색인, 지표",Check the book’s index for the topic you need.
indicate,v.,나타내다,The results indicate that our plan is working.
indirect,adj.,간접적인,He made an indirect comment about her work.
individual,n.,개인,Each individual has unique talents.
industrial,adj.,산업의,The city is famous for its industrial zone.
industry,n.,산업,The tech industry is growing rapidly.
inequality,n.,불평등,Social inequality remains a serious problem.
infect,v.,감염시키다,The virus can infect people quickly.
infection,n.,감염,He’s taking antibiotics for a throat infection.
inflation,n.,"인플레이션, 물가상승",Inflation has made everything more expensive.
influence,n.,영향,His parents had a strong influence on his career choice.
influential,adj.,영향력 있는,She’s one of the most influential artists of our time.
inform,v.,알리다,Please inform me of any schedule changes.
informal,adj.,격식 없는,The meeting was quite informal and relaxed.
information,n.,정보,You can find more information on the website.
ingredient,n.,재료,Mix all the ingredients in a large bowl.
initial,adj.,처음의,The initial results look promising.
initiative,n.,"주도권, 계획",She took the initiative to organize the meeting.
injure,v.,다치게 하다,He injured his leg while playing soccer.
injury,n.,부상,The player suffered a serious knee injury.
inner,adj.,내부의,She found peace in her inner self.
innocent,adj.,"무죄의, 순진한",He was found innocent of all charges.
innovation,n.,혁신,The company values creativity and innovation.
innovative,adj.,혁신적인,They designed an innovative new product.
inquire,v.,문의하다,I called to inquire about the job position.
inquiry,n.,"질문, 조사",The police are conducting an inquiry into the case.
inside,n.,안쪽,The inside of the house was beautifully decorated.
insist,v.,주장하다,He insisted that he was telling the truth.
inspection,n.,"점검, 검사",The building passed the safety inspection.
inspire,v.,영감을 주다,Her story inspired many young writers.
install,v.,설치하다,They installed new lights in the office.
instance,n.,사례,"In this instance, I think you’re right."
instant,adj.,"즉석의, 즉각적인","I need an instant answer, please."
instead,adv.,대신에,Let’s stay home instead of going out.
institute,n.,"기관, 연구소",He studied at a famous research institute.
institution,n.,"기관, 제도",Universities are important educational institutions.
instruction,n.,"지시, 설명",Follow the instructions carefully.
instrument,n.,"악기, 도구",She plays several musical instruments.
insurance,n.,보험,Do you have health insurance?
intellectual,adj.,지적인,"He enjoys deep, intellectual conversations."
intelligence,n.,지능,Dolphins are known for their high intelligence.
intelligent,adj.,똑똑한,She’s one of the most intelligent people I know.
intend,v.,의도하다,I didn’t intend to hurt your feelings.
intention,n.,의도,"His intentions were good, but the result was bad."
interact,v.,"소통하다, 상호 작용하다",Children learn by interacting with others.
interest,n.,관심,He has a strong interest in photography.
interior,n.,내부,The interior design of the restaurant is stunning.
internal,adj.,내부의,They conducted an internal review of the company.
international,adj.,국제적인,She works for an international organization.
interpret,v.,해석하다,How do you interpret this data?
interrupt,v.,방해하다,"Sorry to interrupt, but may I ask something?"
interval,n.,간격,There’s a ten-minute interval between classes.
interview,n.,"면접, 인터뷰",She did great in her job interview.
introduce,v.,소개하다,Let me introduce you to my friend.
introduction,n.,소개,The teacher gave a brief introduction to the topic.
invest,v.,투자하다,He decided to invest in real estate.
investment,n.,투자,Cryptocurrency is a high-risk investment.
investigate,v.,조사하다,The police are investigating the crime scene.
involvement,n.,참여,His involvement in the project was essential.
iron,n.,철,The gate is made of solid iron.
issue,n.,"문제, 쟁점",Climate change is a major global issue.
item,n.,"항목, 물품",Every item in this store is handmade.
jam,n.,잼; 교통 체증,I got stuck in a traffic jam this morning.
jaw,n.,턱,He broke his jaw in the accident.
jealous,adj.,질투하는,She was jealous of her sister’s success.
joint,adj.,공동의,They made a joint decision to buy a house.
journal,n.,"학술지, 일기",She keeps a daily journal about her travels.
journalist,n.,기자,The journalist interviewed the president.
journey,n.,"여정, 여행","Life is a journey, not a race."
judge,n.,판사; 판단하다,Don’t judge people too quickly.
judgment,n.,판단,His judgment turned out to be right.
junior,adj.,하급의,He’s a junior developer at the company.
justice,n.,정의,The protesters demanded justice for the victims.
justify,v.,정당화하다,How can you justify such behavior?
